"","full.name","PA","run","algo","expl.var","rand","var.imp"
"1","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",1,0.274709
"2","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",1,0.966955
"3","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",1,1
"4","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",1,0.336333
"5","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",1,0.210424
"6","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",1,0.068161
"7","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",1,0.017582
"8","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",1,0.449532
"9","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",1,0.029807
"10","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",1,0.00515200000000005
"11","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",1,0.00618300000000005
"12","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",2,0.291207
"13","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",2,0.960127
"14","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",2,1
"15","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",2,0.320841
"16","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",2,0.210121
"17","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",2,0.061859
"18","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",2,0.024783
"19","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",2,0.464046
"20","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",2,0.036684
"21","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",2,0.00715100000000002
"22","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",2,0.00301899999999999
"23","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",3,0.287755
"24","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",3,0.968336
"25","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",3,1
"26","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",3,0.34266
"27","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",3,0.24595
"28","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",3,0.071003
"29","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",3,0.015046
"30","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",3,0.492332
"31","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",3,0.0341590000000001
"32","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",3,0.00658000000000003
"33","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",3,0.00359500000000001
"34","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",4,0.293275
"35","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",4,0.994721
"36","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",4,1
"37","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",4,0.335815
"38","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",4,0.219767
"39","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",4,0.070425
"40","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",4,0.01676
"41","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",4,0.464239
"42","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",4,0.030098
"43","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",4,0.00520200000000004
"44","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",4,0.00205599999999995
"45","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",5,0.303332
"46","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",5,1
"47","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",5,1
"48","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",5,0.349387
"49","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",5,0.218227
"50","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",5,0.067254
"51","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",5,0.02053
"52","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",5,0.488996
"53","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",5,0.038427
"54","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",5,0.00714899999999996
"55","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",5,0.00621300000000002
"56","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",6,0.288191
"57","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",6,0.983912
"58","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",6,1
"59","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",6,0.354731
"60","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",6,0.232624
"61","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",6,0.073052
"62","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",6,0.016647
"63","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",6,0.449166
"64","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",6,0.035839
"65","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",6,0.00887199999999999
"66","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",6,0.00513600000000003
"67","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",7,0.27851
"68","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",7,1
"69","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",7,1
"70","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",7,0.333271
"71","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",7,0.245095
"72","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",7,0.071845
"73","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",7,0.024238
"74","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",7,0.454888
"75","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",7,0.040559
"76","dacrycarpus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",7,0.00364100000000001
