"","full.name","PA","run","algo","expl.var","rand","var.imp"
"1","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio18",1,0.528693
"2","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio6",1,0.138788
"3","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio3",1,0.00938600000000001
"4","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio13",1,0.000966000000000022
"5","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio2",1,4.59999999999905e-05
"6","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio5",1,0.0201249999999999
"7","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio12",1,0
"8","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio4",1,0.011991
"9","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio8",1,0.00069600000000003
"10","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio15",1,0.00281299999999995
"11","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio18",2,0.555183
"12","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio6",2,0.122236
"13","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio3",2,0.011904
"14","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio13",2,0.00105200000000005
"15","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio2",2,8.60000000000305e-05
"16","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio5",2,0.019352
"17","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio12",2,0
"18","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio4",2,0.00654100000000002
"19","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio8",2,0.000828000000000051
"20","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio15",2,0.00288299999999997
"21","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio18",3,0.595119
"22","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio6",3,0.142294
"23","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio3",3,0.00955300000000003
"24","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio13",3,0.000843999999999956
"25","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio2",3,8.60000000000305e-05
"26","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio5",3,0.0181480000000001
"27","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio12",3,0
"28","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio4",3,0.00635399999999997
"29","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio8",3,0.000743000000000049
"30","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio15",3,0.00318600000000002
"31","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio18",4,0.610373
"32","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio6",4,0.128264
"33","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio3",4,0.00931199999999999
"34","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio13",4,0.00097400000000003
"35","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio2",4,8.60000000000305e-05
"36","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio5",4,0.023156
"37","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio12",4,0
"38","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio4",4,0.00449699999999997
"39","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio8",4,0.000688000000000022
"40","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio15",4,0.00287899999999996
"41","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio18",5,0.606809
"42","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio6",5,0.13534
"43","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio3",5,0.011576
"44","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio13",5,0.00090800000000002
"45","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio2",5,4.70000000000192e-05
"46","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio5",5,0.02116
"47","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio12",5,0
"48","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio4",5,0.012827
"49","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio8",5,0.000781000000000032
"50","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio15",5,0.00280999999999998
"51","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio18",6,0.509312
"52","keteleeria_allData_RUN1_MAXNET","allData","RUN1","MAXNET","Bio6",6,0.134536
