"","full.name","PA","run","algo","expl.var","rand","var.imp"
"1","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",1,0.417709
"2","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",1,0.310425
"3","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",1,0.745371
"4","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",1,0.19978
"5","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",1,1
"6","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",1,0.011277
"7","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",1,0.07242
"8","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",1,0.028659
"9","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",1,0.00249100000000002
"10","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",1,0.272302
"11","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",1,0.067116
"12","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",2,0.410858
"13","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",2,0.303138
"14","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",2,0.742818
"15","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",2,0.198047
"16","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",2,1
"17","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",2,0.010926
"18","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",2,0.075353
"19","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",2,0.028342
"20","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",2,0.00253599999999998
"21","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",2,0.270552
"22","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",2,0.066882
"23","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",3,0.418425
"24","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",3,0.307027
"25","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",3,0.751176
"26","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",3,0.196892
"27","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",3,1
"28","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",3,0.01078
"29","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",3,0.075787
"30","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",3,0.028264
"31","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",3,0.00250099999999998
"32","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",3,0.27363
"33","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",3,0.067997
"34","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",4,0.422633
"35","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",4,0.303453
"36","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",4,0.744416
"37","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",4,0.198945
"38","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",4,1
"39","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",4,0.01081
"40","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",4,0.072837
"41","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",4,0.028899
"42","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",4,0.00251599999999996
"43","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",4,0.273136
"44","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",4,0.068283
"45","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",5,0.415008
"46","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",5,0.309678
"47","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",5,0.746728
"48","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",5,0.199285
"49","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",5,1
"50","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",5,0.010652
"51","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",5,0.074665
"52","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",5,0.028495
"53","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",5,0.00264299999999995
"54","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",5,0.271313
"55","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",5,0.06875
"56","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",6,0.414607
"57","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",6,0.307768
"58","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",6,0.756967
"59","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",6,0.20201
"60","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",6,1
"61","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",6,0.010933
"62","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",6,0.072512
"63","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",6,0.029502
"64","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",6,0.00251800000000002
"65","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",6,0.276619
"66","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",6,0.06772
"67","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",7,0.413105
"68","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",7,0.307286
"69","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",7,0.746252
"70","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",7,0.200142
"71","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",7,1
"72","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",7,0.01126
"73","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",7,0.0724860000000001
"74","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",7,0.02921
"75","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",7,0.00251999999999997
"76","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",7,0.270175
"77","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",7,0.067517
"78","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",8,0.412995
"79","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",8,0.301516
"80","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",8,0.75107
"81","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",8,0.199361
"82","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",8,1
"83","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",8,0.010779
"84","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",8,0.074854
"85","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",8,0.029174
"86","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",8,0.00251800000000002
"87","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",8,0.277467
"88","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",8,0.067811
"89","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",9,0.412098
"90","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",9,0.308022
"91","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",9,0.757052
"92","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",9,0.198949
"93","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",9,1
"94","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",9,0.011159
"95","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",9,0.073031
"96","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",9,0.027765
"97","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",9,0.002525
"98","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",9,0.272826
"99","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",9,0.0687489999999999
"100","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio2",10,0.410947
"101","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio3",10,0.304059
"102","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio4",10,0.750606
"103","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio5",10,0.197915
"104","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio6",10,1
"105","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio8",10,0.0109900000000001
"106","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio12",10,0.075203
"107","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio13",10,0.028343
"108","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio15",10,0.00253700000000001
"109","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio18",10,0.274672
"110","pinus_allData_RUN1_GLM","allData","RUN1","GLM","Bio19",10,0.068441
"111","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio2",1,0.00115799999999999
"112","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio3",1,0.012418
"113","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio4",1,0.012023
"114","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio5",1,0.042936
"115","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio6",1,0.780023
"116","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio8",1,0.00125200000000003
"117","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio12",1,0.00610699999999997
"118","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio13",1,0.000192999999999999
"119","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio15",1,0.000172999999999979
"120","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio18",1,0.004691
"121","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio19",1,9.1999999999981e-05
"122","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio2",2,0.00124100000000005
"123","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio3",2,0.0125
"124","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio4",2,0.011696
"125","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio5",2,0.043683
"126","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio6",2,0.774436
"127","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio8",2,0.00125200000000003
"128","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio12",2,0.00608699999999995
"129","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio13",2,0.000172999999999979
"130","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio15",2,0.000168999999999975
"131","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio18",2,0.004548
"132","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio19",2,9.09999999999522e-05
"133","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio2",3,0.00121599999999999
"134","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio3",3,0.012512
"135","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio4",3,0.012064
"136","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio5",3,0.043086
"137","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio6",3,0.771069
"138","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio8",3,0.00128300000000003
"139","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio12",3,0.00599899999999998
"140","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio13",3,0.000190000000000023
"141","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio15",3,0.000174000000000007
"142","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio18",3,0.00464699999999996
"143","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio19",3,9.49999999999562e-05
"144","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio2",4,0.00116899999999998
"145","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio3",4,0.012226
"146","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio4",4,0.012139
"147","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio5",4,0.044878
"148","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio6",4,0.775729
"149","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio8",4,0.00129800000000002
"150","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio12",4,0.00601600000000002
"151","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio13",4,0.000183999999999962
"152","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio15",4,0.000168999999999975
"153","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio18",4,0.00449699999999997
"154","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio19",4,9.1999999999981e-05
"155","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio2",5,0.00116700000000003
"156","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio3",5,0.012378
"157","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio4",5,0.011801
"158","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio5",5,0.0444909999999999
"159","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio6",5,0.780321
"160","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio8",5,0.00131899999999996
"161","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio12",5,0.006185
"162","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio13",5,0.00017900000000004
"163","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio15",5,0.000171000000000032
"164","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio18",5,0.00453999999999999
"165","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio19",5,8.69999999999482e-05
"166","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio2",6,0.00123200000000001
"167","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio3",6,0.012437
"168","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio4",6,0.012083
"169","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio5",6,0.04394
"170","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio6",6,0.780482
"171","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio8",6,0.00129900000000005
"172","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio12",6,0.00613399999999997
"173","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio13",6,0.000179999999999958
"174","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio15",6,0.000167000000000028
"175","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio18",6,0.00441899999999995
"176","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio19",6,9.80000000000425e-05
"177","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio2",7,0.00121700000000002
"178","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio3",7,0.012339
"179","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio4",7,0.011738
"180","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio5",7,0.044254
"181","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio6",7,0.781018
"182","pinus_allData_RUN1_GBM","allData","RUN1","GBM","Bio8",7,0.00132100000000002
