"","full.name","PA","run","algo","expl.var","rand","var.imp"
"1","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio6",1,0.960428
"2","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio4",1,0.044522
"3","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio5",1,0.054862
"4","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio3",1,0.028235
"5","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio2",1,0
"6","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio18",1,0.0140169999999999
"7","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio12",1,0
"8","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio19",1,0.00434999999999997
"9","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio13",1,0
"10","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio8",1,0.00644699999999998
"11","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio6",2,0.95837
"12","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio4",2,0.044243
"13","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio5",2,0.053009
"14","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio3",2,0.027795
"15","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio2",2,0
"16","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio18",2,0.014182
"17","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio12",2,0
"18","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio19",2,0.00414000000000003
"19","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio13",2,0
"20","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio8",2,0.00599400000000005
"21","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio6",3,0.958575
"22","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio4",3,0.0453750000000001
"23","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio5",3,0.053458
"24","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio3",3,0.027374
"25","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio2",3,0
"26","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio18",3,0.014414
"27","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio12",3,0
"28","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio19",3,0.00434900000000005
"29","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio13",3,0
"30","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio8",3,0.00674200000000003
"31","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio6",4,0.963217
"32","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio4",4,0.04467
"33","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio5",4,0.052999
"34","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio3",4,0.028383
"35","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio2",4,0
"36","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio18",4,0.014299
"37","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio12",4,0
"38","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio19",4,0.00403500000000001
"39","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio13",4,0
"40","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio8",4,0.00680599999999998
"41","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio6",5,0.967777
"42","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio4",5,0.045118
"43","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio5",5,0.053213
"44","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio3",5,0.028528
"45","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio2",5,0
"46","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio18",5,0.015062
"47","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio12",5,0
"48","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio19",5,0.00461
"49","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio13",5,0
"50","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio8",5,0.00683599999999995
"51","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio6",6,0.961767
"52","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio4",6,0.045221
"53","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio5",6,0.053072
"54","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio3",6,0.028014
"55","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio2",6,0
"56","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio18",6,0.016299
"57","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio12",6,0
"58","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio19",6,0.00440200000000002
"59","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio13",6,0
"60","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio8",6,0.00650499999999998
"61","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio6",7,0.963984
"62","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio4",7,0.04557
"63","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio5",7,0.0535679999999999
"64","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio3",7,0.027015
"65","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio2",7,0
"66","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio18",7,0.014713
"67","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio12",7,0
"68","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio19",7,0.00382499999999997
"69","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio13",7,0
"70","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio8",7,0.00726599999999999
"71","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio6",8,0.962746
"72","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio4",8,0.044563
"73","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio5",8,0.053401
"74","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio3",8,0.0273949999999999
"75","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio2",8,0
"76","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio18",8,0.0143720000000001
"77","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio12",8,0
"78","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio19",8,0.004297
"79","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio13",8,0
"80","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio8",8,0.006351
"81","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio6",9,0.95821
"82","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio4",9,0.043954
"83","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio5",9,0.052945
"84","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio3",9,0.028029
"85","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio2",9,0
"86","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio18",9,0.014341
"87","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio12",9,0
"88","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio19",9,0.00471500000000002
"89","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio13",9,0
"90","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio8",9,0.00685400000000003
"91","pinus_allData_RUN1_CTA","allData","RUN1","CTA","Bio6",10,0.959448
